"x","y","z","t","class"
-0.1477,3.5932,-1.1956,2021-12-24 16:29:14,1
0.0173,-0.4781,-0.059,2021-12-24 16:29:15,1
-0.4016,0.6325,-0.3577,2021-12-24 16:29:16,1
-0.1983,0.334,-0.391,2021-12-24 16:29:17,1
0.1103,0.3707,0.6015,2021-12-24 16:29:18,1
-0.0692,-0.3762,-0.3966,2021-12-24 16:29:19,1
-0.1696,0.039,-0.4869,2021-12-24 16:29:20,1
-0.6126,0.0861,0.0613,2021-12-24 16:29:21,1
0.8321,0.876,-0.4849,2021-12-24 16:29:22,1
0.2955,1.0054,-1.3102,2021-12-24 16:29:23,1
-0.5291,0.3131,0.3626,2021-12-24 16:29:24,1
0.6569,-0.0342,0.3271,2021-12-24 16:29:25,1
-0.065,0.1049,0.7156,2021-12-24 16:29:26,1
0.2738,-0.6507,0.6846,2021-12-24 16:29:27,1
-0.1547,0.4619,-0.1899,2021-12-24 16:29:28,1
-0.2673,0.147,-0.9764,2021-12-24 16:29:29,1
0.4658,0.5494,-0.4571,2021-12-24 16:29:30,1
-0.2476,0.258,-0.9329,2021-12-24 16:29:31,1
0.349,0.0271,0.041,2021-12-24 16:29:32,1
-0.2749,0.1914,0.0753,2021-12-24 16:29:33,1
0.4744,-0.1212,0.2848,2021-12-24 16:29:34,1
-0.1684,-0.1138,0.1027,2021-12-24 16:29:35,1
0.1094,0.0603,-1.2415,2021-12-24 16:29:36,1
-0.3786,0.5976,0.2833,2021-12-24 16:29:37,1
0.1133,-0.2483,0.0659,2021-12-24 16:29:38,1
0.2414,0.0206,-0.8032,2021-12-24 16:29:39,1
0.7616,-0.5439,-0.0385,2021-12-24 16:29:40,1
0.0691,0.419,0.0296,2021-12-24 16:29:41,1
0.3191,-0.2208,1.1162,2021-12-24 16:29:42,1
-0.3668,0.14,-0.741,2021-12-24 16:29:43,1
-0.0298,-0.3179,-2.6457,2021-12-24 16:29:44,1
-0.6068,0.1118,-1.0211,2021-12-24 16:29:45,1
-0.0657,-0.2461,1.4617,2021-12-24 16:29:46,1
0.8073,-0.0087,0.9586,2021-12-24 16:29:47,1
-0.0398,0.5268,-0.1322,2021-12-24 16:29:48,1
-0.1583,-0.9159,-0.5195,2021-12-24 16:29:49,1
0.5575,0.1827,-1.6922,2021-12-24 16:29:50,1
-2.443,-0.0593,0.5038,2021-12-24 16:29:51,1
0.5672,0.3455,-2.2855,2021-12-24 16:29:52,1
1.3329,-0.3366,-1.2949,2021-12-24 16:29:53,1
-1.067,-0.3994,-0.2249,2021-12-24 16:29:54,1
1.384,0.5254,1.3556,2021-12-24 16:29:55,1
-0.091,-0.2694,-0.9146,2021-12-24 16:29:56,1
0.0483,-1.2251,-1.8788,2021-12-24 16:29:57,1
-0.107,0.4276,-0.2685,2021-12-24 16:29:58,1
-0.2357,-0.1379,-1.006,2021-12-24 16:29:59,1
-0.0042,-0.0122,-1.2016,2021-12-24 16:30:00,1
0.0119,0.0752,1.049,2021-12-24 16:30:01,1
0.8678,-0.1137,0.1218,2021-12-24 16:30:02,1
-0.0585,-0.0294,1.3827,2021-12-24 16:30:03,1
0.798,-0.5876,-0.5257,2021-12-24 16:30:04,1
